bot_name,asset,side,leverage,regime,total_return_pct,win_rate_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades
SOL SHORT BOT,SOLUSDT,short,3,Sideways / ranging,-0.05,49,-0.12,-0.04,0.91,100
SOL SHORT BOT,SOLUSDT,short,3,Sideways / ranging,-0.2,43,-0.3,-0.13,0.68,100
SOL SHORT BOT,SOLUSDT,short,3,Bear market,0.31,56.9,-0.16,0.09,1.51,58
SOL SHORT BOT,SOLUSDT,short,3,Bull market,-0.25,40,-0.27,-0.23,0.32,20
SOL SHORT BOT,SOLUSDT,short,3,Bear market,0.15,53.1,-0.26,0.09,1.31,64
BTC ENTRY AGENT,BTCUSDT,short,3,Sideways / ranging,-0.02,53,-0.12,-0.02,0.94,100
BTC ENTRY AGENT,BTCUSDT,short,3,Sideways / ranging,-0.1,46,-0.15,-0.1,0.74,100
BTC ENTRY AGENT,BTCUSDT,short,3,Bear market,0.07,54.4,-0.14,0.04,1.12,79
BTC ENTRY AGENT,BTCUSDT,short,3,Sideways / ranging,-0.21,44.9,-0.28,-0.18,0.59,89
BTC ENTRY AGENT,BTCUSDT,short,3,Bear market,0.22,57.7,-0.07,0.2,1.73,97